interval_start,interval,geography_type,geography_key,deployment.avg
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371021051,0.04
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371021071,0.17
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371021072,0.1
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371044031,0.01
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371046102,0.01
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371046202,0.01
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371061122,0.02
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371064032,0.07
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371065103,3.89
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371066031,0.03
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371066032,0.61
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371066423,0.01
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371066431,0.01
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371066432,0.05
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371070201,0.1
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371081021,0.08
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371082011,0.19
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371082012,0.23
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371091001,0.03
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371093001,0.08
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371094002,0.03
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371096033,0.02
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371096043,0.14
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371112011,0.09
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371114003,0.1
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371131011,0.14
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371132131,0.01
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371132132,0.04
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371132321,0.02
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371132322,0.03
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371132332,0.4
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,60371132333,0.08
